artifact_id,text,evidence_type,timestamp,gold_controls,partition,gold_rationale,auditor_id
2133,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T15:39:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4
2134,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T15:42:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5
2135,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T15:45:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1
2136,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T15:48:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2
2137,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T15:51:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3
2138,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T15:54:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4
2139,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T15:57:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5
2140,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T16:00:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1
2141,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T16:03:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2
2142,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T16:06:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3
2143,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T16:09:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4
2144,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T16:12:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5
2145,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T16:15:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1
2146,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T16:18:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2
2147,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T16:21:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3
2148,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T16:24:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4
2149,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T16:27:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5
2150,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T16:30:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1
2151,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T16:33:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2
2152,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T16:36:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3
2153,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T16:39:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4
2154,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T16:42:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5
2155,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T16:45:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1
2156,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T16:48:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2
2157,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T16:51:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3
2158,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T16:54:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4
2159,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T16:57:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5
2160,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T17:00:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1
2161,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T17:03:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2
2162,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T17:06:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3
2163,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T17:09:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4
2164,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T17:12:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5
2165,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T17:15:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1
2166,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T17:18:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2
2167,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T17:21:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3
2168,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T17:24:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4
2169,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T17:27:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5
2170,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T17:30:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1
2171,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T17:33:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2
2172,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T17:36:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3
2173,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T17:39:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4
2174,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T17:42:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5
2175,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T17:45:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1
2176,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T17:48:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2
2177,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T17:51:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3
2178,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T17:54:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4
2179,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T17:57:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5
2180,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T18:00:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1
2181,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T18:03:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2
2182,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T18:06:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3
2183,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T18:09:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4
2184,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T18:12:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5
2185,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T18:15:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1
2186,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T18:18:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2
2187,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T18:21:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3
2188,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T18:24:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4
2189,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T18:27:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5
2190,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T18:30:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1
2191,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T18:33:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2
2192,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T18:36:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3
2193,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T18:39:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4
2194,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T18:42:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5
2195,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T18:45:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1
2196,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T18:48:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2
2197,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T18:51:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3
2198,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T18:54:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4
2199,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T18:57:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5
2200,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T19:00:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1
2201,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T19:03:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2
2202,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T19:06:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3
2203,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T19:09:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4
2204,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T19:12:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5
2205,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T19:15:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1
2206,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T19:18:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2
2207,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T19:21:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3
2208,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T19:24:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4
2209,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T19:27:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5
2210,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T19:30:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1
2211,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T19:33:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2
2212,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T19:36:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3
2213,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T19:39:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4
2214,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T19:42:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5
2215,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T19:45:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1
2216,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T19:48:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2
2217,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T19:51:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3
2218,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T19:54:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4
2219,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T19:57:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5
2220,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T20:00:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1
2221,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T20:03:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2
2222,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T20:06:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3
2223,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T20:09:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4
2224,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T20:12:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5
2225,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T20:15:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1
2226,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T20:18:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2
2227,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T20:21:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3
2228,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T20:24:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4
2229,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T20:27:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5
2230,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T20:30:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1
2231,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T20:33:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2
2232,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T20:36:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3
2233,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T20:39:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4
2234,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T20:42:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5
2235,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T20:45:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1
2236,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T20:48:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2
2237,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T20:51:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3
2238,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T20:54:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4
2239,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T20:57:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5
2240,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T21:00:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1
2241,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T21:03:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2
2242,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T21:06:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3
2243,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T21:09:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4
2244,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T21:12:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5
2245,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T21:15:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1
2246,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T21:18:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2
2247,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T21:21:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3
2248,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T21:24:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4
2249,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T21:27:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5
