artifact_id,text,evidence_type,timestamp,gold_controls,gold_rationale,auditor_id,predicted_controls,accept_reject,accuracy_value
2120,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T15:00:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1,AC-7;AU-6,accept,1.0
2121,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T15:03:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2,SC-28;SC-12,accept,1.0
2122,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T15:06:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3,AU-8,accept,1.0
2123,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T15:09:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4,SC-5;SC-7,accept,1.0
2124,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T15:12:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5,SC-8;SC-13,accept,1.0
2125,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T15:15:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1,CM-3,accept,0.5
2126,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T15:18:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2,AC-7;AU-6,accept,1.0
2127,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T15:21:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3,SC-28;SC-12,accept,1.0
2128,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T15:24:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4,AU-8,accept,1.0
2129,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T15:27:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5,SC-5;SC-7,accept,1.0
2130,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T15:30:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1,SC-8;SC-13,accept,1.0
2131,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T15:33:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2,CM-3,accept,0.5
2132,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T15:36:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3,AC-7;AU-6,accept,1.0
2133,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T15:39:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4,SC-28;SC-12,accept,1.0
2134,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T15:42:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5,AU-8,accept,1.0
2135,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T15:45:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1,SC-5;SC-7,accept,1.0
2136,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T15:48:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2,SC-8;SC-13,accept,1.0
2137,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T15:51:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3,CM-3,accept,0.5
2138,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T15:54:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4,AC-7;AU-6,accept,1.0
2139,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T15:57:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5,SC-28;SC-12,accept,1.0
2140,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T16:00:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1,AU-8,accept,1.0
2141,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T16:03:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2,SC-5;SC-7,accept,1.0
2142,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T16:06:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3,SC-8;SC-13,accept,1.0
2143,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T16:09:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4,CM-3,accept,0.5
2144,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T16:12:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5,AC-7;AU-6,accept,1.0
2145,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T16:15:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1,SC-28;SC-12,accept,1.0
2146,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T16:18:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2,AU-8,accept,1.0
2147,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T16:21:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3,SC-5;SC-7,accept,1.0
2148,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T16:24:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4,SC-8;SC-13,accept,1.0
2149,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T16:27:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5,CM-3,accept,0.5
2150,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T16:30:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1,AC-7;AU-6,accept,1.0
2151,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T16:33:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2,SC-28;SC-12,accept,1.0
2152,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T16:36:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3,AU-8,accept,1.0
2153,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T16:39:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4,SC-5;SC-7,accept,1.0
2154,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T16:42:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5,SC-8;SC-13,accept,1.0
2155,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T16:45:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1,CM-3,accept,0.5
2156,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T16:48:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2,AC-7;AU-6,accept,1.0
2157,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T16:51:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3,SC-28;SC-12,accept,1.0
2158,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T16:54:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4,AU-8,accept,1.0
2159,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T16:57:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5,SC-5;SC-7,accept,1.0
2160,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T17:00:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1,SC-8;SC-13,accept,1.0
2161,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T17:03:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2,CM-3,accept,0.5
2162,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T17:06:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3,AC-7;AU-6,accept,1.0
2163,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T17:09:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4,SC-28;SC-12,accept,1.0
2164,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T17:12:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5,AU-8,accept,1.0
2165,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T17:15:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1,SC-5;SC-7,accept,1.0
2166,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T17:18:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2,SC-8;SC-13,accept,1.0
2167,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T17:21:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3,CM-3,accept,0.5
2168,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T17:24:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4,AC-7;AU-6,accept,1.0
2169,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T17:27:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5,SC-28;SC-12,accept,1.0
2170,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T17:30:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1,AU-8,accept,1.0
2171,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T17:33:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2,SC-5;SC-7,accept,1.0
2172,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T17:36:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3,SC-8;SC-13,accept,1.0
2173,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T17:39:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4,CM-3,accept,0.5
2174,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T17:42:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5,AC-7;AU-6,accept,1.0
2175,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T17:45:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1,SC-28;SC-12,accept,1.0
2176,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T17:48:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2,AU-8,accept,1.0
2177,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T17:51:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3,SC-5;SC-7,accept,1.0
2178,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T17:54:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4,SC-8;SC-13,accept,1.0
2179,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T17:57:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5,CM-3,accept,0.5
2180,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T18:00:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1,AC-7;AU-6,accept,1.0
2181,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T18:03:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2,SC-28;SC-12,accept,1.0
2182,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T18:06:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3,AU-8,accept,1.0
2183,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T18:09:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4,SC-5;SC-7,accept,1.0
2184,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T18:12:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5,SC-8;SC-13,accept,1.0
2185,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T18:15:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1,CM-3,accept,0.5
2186,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T18:18:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2,AC-7;AU-6,accept,1.0
2187,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T18:21:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3,SC-28;SC-12,accept,1.0
2188,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T18:24:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4,AU-8,accept,1.0
2189,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T18:27:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5,SC-5;SC-7,accept,1.0
2190,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T18:30:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1,SC-8;SC-13,accept,1.0
2191,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T18:33:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2,CM-3,accept,0.5
2192,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T18:36:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3,AC-7;AU-6,accept,1.0
2193,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T18:39:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4,SC-28;SC-12,accept,1.0
2194,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T18:42:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5,AU-8,accept,1.0
2195,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T18:45:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1,SC-5;SC-7,accept,1.0
2196,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T18:48:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2,SC-8;SC-13,accept,1.0
2197,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T18:51:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3,CM-3,accept,0.5
2198,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T18:54:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4,AC-7;AU-6,accept,1.0
2199,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T18:57:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5,SC-28;SC-12,accept,1.0
2200,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T19:00:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1,AU-8,accept,1.0
2201,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T19:03:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2,SC-5;SC-7,accept,1.0
2202,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T19:06:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3,SC-8;SC-13,accept,1.0
2203,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T19:09:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4,CM-3,accept,0.5
2204,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T19:12:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5,AC-7;AU-6,accept,1.0
2205,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T19:15:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1,SC-28;SC-12,accept,1.0
2206,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T19:18:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2,AU-8,accept,1.0
2207,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T19:21:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3,SC-5;SC-7,accept,1.0
2208,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T19:24:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4,SC-8;SC-13,accept,1.0
2209,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T19:27:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5,CM-3,accept,0.5
2210,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T19:30:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1,AC-7;AU-6,accept,1.0
2211,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T19:33:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2,SC-28;SC-12,accept,1.0
2212,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T19:36:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3,AU-8,accept,1.0
2213,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T19:39:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4,SC-5;SC-7,accept,1.0
2214,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T19:42:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5,SC-8;SC-13,accept,1.0
2215,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T19:45:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1,CM-3,accept,0.5
2216,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T19:48:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2,AC-7;AU-6,accept,1.0
2217,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T19:51:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3,SC-28;SC-12,accept,1.0
2218,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T19:54:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4,AU-8,accept,1.0
2219,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T19:57:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5,SC-5;SC-7,accept,1.0
2220,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T20:00:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1,SC-8;SC-13,accept,1.0
2221,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T20:03:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2,CM-3,accept,0.5
2222,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T20:06:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3,AC-7;AU-6,accept,1.0
2223,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T20:09:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4,SC-28;SC-12,accept,1.0
2224,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T20:12:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5,AU-8,accept,1.0
2225,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T20:15:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1,SC-5;SC-7,accept,1.0
2226,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T20:18:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2,SC-8;SC-13,accept,1.0
2227,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T20:21:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3,CM-3,accept,0.5
2228,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T20:24:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4,AC-7;AU-6,accept,1.0
2229,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T20:27:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5,SC-28;SC-12,accept,1.0
2230,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T20:30:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1,AU-8,accept,1.0
2231,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T20:33:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2,SC-5;SC-7,accept,1.0
2232,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T20:36:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3,SC-8;SC-13,accept,1.0
2233,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T20:39:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4,CM-3,accept,0.5
2234,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T20:42:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5,AC-7;AU-6,accept,1.0
2235,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T20:45:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1,SC-28;SC-12,accept,1.0
2236,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T20:48:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2,AU-8,accept,1.0
2237,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T20:51:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3,SC-5;SC-7,accept,1.0
2238,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T20:54:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4,SC-8;SC-13,accept,1.0
2239,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T20:57:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5,CM-3,accept,0.5
